complaint,category
Mosquitoes due to garbage kindly fix issue,Waste Management
Mosquitoes due to garbage very serious help,Waste Management
Bad smell from waste kindly fix ,Waste Management
Mosquitoes due to garbage not resolved yet issue,Waste Management
Mosquitoes due to garbage citizens facing problems plz,Waste Management
No proper waste disposal  ,Waste Management
No proper waste disposal citizens facing problems plz,Waste Management
Dustbin overflowing kindly fix urgnt,Waste Management
Dustbin overflowing very serious urgnt,Waste Management
Bad smell from waste happening since a week plz,Waste Management
No proper waste disposal not resolved yet help,Waste Management
Bad smell from waste please check ,Waste Management
Mosquitoes due to garbage very serious urgnt,Waste Management
Bad smell from waste not resolved yet plz,Waste Management
No proper waste disposal happening since a week urgnt,Waste Management
Dustbin overflowing not resolved yet urgnt,Waste Management
Bad smell from waste not resolved yet ,Waste Management
No proper waste disposal please check plz,Waste Management
No proper waste disposal  urgnt,Waste Management
No proper waste disposal  help,Waste Management
Bad smell from waste not resolved yet plz,Waste Management
No proper waste disposal citizens facing problems help,Waste Management
Mosquitoes due to garbage happening since a week ,Waste Management
No proper waste disposal very serious issue,Waste Management
No proper waste disposal very serious help,Waste Management
Bad smell from waste very serious help,Waste Management
Mosquitoes due to garbage not resolved yet plz,Waste Management
Mosquitoes due to garbage Medicine stock finished kindly fix plz,Waste Management
Dustbin overflowing happening since a week plz,Waste Management
Mosquitoes due to garbage urgent issue urgnt,Waste Management
No proper waste disposal not resolved yet help,Waste Management
Mosquitoes due to garbage No electricity in area citizens facing problems plz,Waste Management
Dustbin overflowing please check ,Waste Management
Bad smell from waste very serious urgnt,Waste Management
Mosquitoes due to garbage happening since a week urgnt,Waste Management
Bad smell from waste  plz,Waste Management
Dustbin overflowing very serious urgnt,Waste Management
Dustbin overflowing citizens facing problems issue,Waste Management
Mosquitoes due to garbage happening since a week issue,Waste Management
Bad smell from waste happening since a week help,Waste Management
Garbage not collected kindly fix issue,Waste Management
Mosquitoes due to garbage urgent issue help,Waste Management
Mosquitoes due to garbage kindly fix plz,Waste Management
Dustbin overflowing  plz,Waste Management
Dustbin overflowing kindly fix urgnt,Waste Management
No proper waste disposal kindly fix plz,Waste Management
No proper waste disposal  issue,Waste Management
Broken road causing traffic not resolved yet ,Roads
New road construction delayed happening since a week ,Roads
New road construction delayed  issue,Roads
Need road repair citizens facing problems issue,Roads
New road construction delayed  plz,Roads
Uneven roads in colony not resolved yet plz,Roads
New road construction delayed not resolved yet issue,Roads
Road full of potholes Dustbin overflowing very serious plz,Roads
Uneven roads in colony Electricity fluctuation damages appliances very serious issue,Roads
New road construction delayed Water leakage near my house urgent issue urgnt,Roads
New road construction delayed  help,Roads
New road construction delayed citizens facing problems plz,Roads
Need road repair please check ,Roads
Uneven roads in colony please check ,Roads
New road construction delayed Water supply is irregular  urgnt,Roads
Road full of potholes urgent issue urgnt,Roads
Broken road causing traffic  issue,Roads
Uneven roads in colony very serious issue,Roads
Uneven roads in colony citizens facing problems plz,Roads
Need road repair Street lights not working  ,Roads
Uneven roads in colony very serious ,Roads
Uneven roads in colony very serious issue,Roads
Broken road causing traffic urgent issue ,Roads
Need road repair Dustbin overflowing citizens facing problems issue,Roads
Uneven roads in colony  plz,Roads
Need road repair kindly fix ,Roads
Uneven roads in colony very serious issue,Roads
Need road repair kindly fix plz,Roads
Uneven roads in colony not resolved yet urgnt,Roads
Need road repair  help,Roads
Uneven roads in colony No proper waste disposal not resolved yet help,Roads
Broken road causing traffic not resolved yet ,Roads
Broken road causing traffic Uneven roads in colony  plz,Roads
Need road repair citizens facing problems help,Roads
Road full of potholes Bad smell from waste citizens facing problems urgnt,Roads
Need road repair happening since a week urgnt,Roads
Need road repair No proper waste disposal  urgnt,Roads
Uneven roads in colony happening since a week help,Roads
New road construction delayed urgent issue plz,Roads
Uneven roads in colony urgent issue help,Roads
New road construction delayed not resolved yet help,Roads
Uneven roads in colony very serious ,Roads
Broken road causing traffic happening since a week help,Roads
Uneven roads in colony citizens facing problems ,Roads
Need road repair not resolved yet ,Roads
Broken road causing traffic not resolved yet issue,Roads
Broken road causing traffic very serious urgnt,Roads
Road full of potholes very serious help,Roads
Need road repair kindly fix ,Roads
Road full of potholes not resolved yet help,Roads
Need road repair not resolved yet issue,Roads
New road construction delayed Dirty water from tap very serious urgnt,Roads
Road full of potholes  ,Roads
Uneven roads in colony urgent issue plz,Roads
Uneven roads in colony  ,Roads
New road construction delayed  issue,Roads
Need road repair urgent issue issue,Roads
New road construction delayed kindly fix plz,Roads
Uneven roads in colony New road construction delayed urgent issue help,Roads
Road full of potholes citizens facing problems plz,Roads
Uneven roads in colony urgent issue urgnt,Roads
New road construction delayed urgent issue issue,Roads
Uneven roads in colony please check ,Roads
Need road repair urgent issue help,Roads
Broken road causing traffic No water coming since morning kindly fix help,Roads
New road construction delayed not resolved yet issue,Roads
New road construction delayed happening since a week issue,Roads
Uneven roads in colony very serious urgnt,Roads
Broken road causing traffic  urgnt,Roads
Need road repair kindly fix ,Roads
Uneven roads in colony citizens facing problems help,Roads
Broken road causing traffic No proper waste disposal very serious help,Roads
Uneven roads in colony happening since a week urgnt,Roads
Broken road causing traffic Broken road causing traffic kindly fix help,Roads
Uneven roads in colony kindly fix issue,Roads
Uneven roads in colony happening since a week ,Roads
Broken road causing traffic please check issue,Roads
Need road repair very serious urgnt,Roads
Uneven roads in colony not resolved yet plz,Roads
New road construction delayed happening since a week plz,Roads
Doctor not available in clinic urgent issue issue,Healthcare
Medicine stock finished not resolved yet issue,Healthcare
Doctor not available in clinic please check plz,Healthcare
Long waiting time in hospital  ,Healthcare
Long waiting time in hospital  help,Healthcare
Long waiting time in hospital Uneven roads in colony happening since a week ,Healthcare
Ambulance not responding happening since a week ,Healthcare
Medicine stock finished citizens facing problems ,Healthcare
Long waiting time in hospital urgent issue plz,Healthcare
Medicine stock finished Medicine stock finished please check issue,Healthcare
Long waiting time in hospital very serious urgnt,Healthcare
Ambulance not responding Power cut for several hours please check ,Healthcare
Doctor not available in clinic not resolved yet issue,Healthcare
Ambulance not responding very serious issue,Healthcare
Ambulance not responding  urgnt,Healthcare
Long waiting time in hospital very serious help,Healthcare
Long waiting time in hospital  plz,Healthcare
Ambulance not responding happening since a week urgnt,Healthcare
Long waiting time in hospital urgent issue issue,Healthcare
Ambulance not responding kindly fix help,Healthcare
Doctor not available in clinic kindly fix help,Healthcare
Long waiting time in hospital New road construction delayed not resolved yet plz,Healthcare
Medicine stock finished citizens facing problems plz,Healthcare
Doctor not available in clinic not resolved yet help,Healthcare
Medicine stock finished urgent issue issue,Healthcare
Long waiting time in hospital not resolved yet issue,Healthcare
Ambulance not responding Road full of potholes not resolved yet issue,Healthcare
Long waiting time in hospital New road construction delayed urgent issue urgnt,Healthcare
Medicine stock finished please check plz,Healthcare
Need more staff in healthcare center very serious issue,Healthcare
Doctor not available in clinic urgent issue ,Healthcare
Doctor not available in clinic urgent issue plz,Healthcare
Ambulance not responding very serious ,Healthcare
Doctor not available in clinic very serious urgnt,Healthcare
Long waiting time in hospital urgent issue ,Healthcare
Doctor not available in clinic not resolved yet urgnt,Healthcare
Need more staff in healthcare center citizens facing problems help,Healthcare
Ambulance not responding very serious issue,Healthcare
Ambulance not responding happening since a week help,Healthcare
Ambulance not responding very serious issue,Healthcare
Long waiting time in hospital kindly fix ,Healthcare
Need more staff in healthcare center please check ,Healthcare
Need more staff in healthcare center  help,Healthcare
Ambulance not responding urgent issue issue,Healthcare
Long waiting time in hospital Road full of potholes happening since a week urgnt,Healthcare
Need more staff in healthcare center very serious help,Healthcare
Need more staff in healthcare center kindly fix ,Healthcare
Need more staff in healthcare center Doctor not available in clinic urgent issue urgnt,Healthcare
Need more staff in healthcare center please check ,Healthcare
Doctor not available in clinic please check urgnt,Healthcare
Doctor not available in clinic happening since a week urgnt,Healthcare
Need more staff in healthcare center not resolved yet issue,Healthcare
Medicine stock finished Road full of potholes citizens facing problems urgnt,Healthcare
Ambulance not responding Dirty water from tap urgent issue issue,Healthcare
Long waiting time in hospital Ambulance not responding happening since a week help,Healthcare
Doctor not available in clinic not resolved yet help,Healthcare
Ambulance not responding Need more staff in healthcare center please check urgnt,Healthcare
Doctor not available in clinic Need more staff in healthcare center kindly fix plz,Healthcare
Ambulance not responding Mosquitoes due to garbage happening since a week plz,Healthcare
Long waiting time in hospital please check help,Healthcare
Doctor not available in clinic not resolved yet ,Healthcare
Medicine stock finished Water supply is irregular very serious ,Healthcare
Medicine stock finished very serious plz,Healthcare
Need more staff in healthcare center  help,Healthcare
Need more staff in healthcare center please check plz,Healthcare
Long waiting time in hospital  plz,Healthcare
Doctor not available in clinic please check urgnt,Healthcare
Need more staff in healthcare center  ,Healthcare
Need more staff in healthcare center citizens facing problems help,Healthcare
Doctor not available in clinic not resolved yet urgnt,Healthcare
Need more staff in healthcare center not resolved yet plz,Healthcare
Doctor not available in clinic  issue,Healthcare
Doctor not available in clinic  ,Healthcare
Doctor not available in clinic very serious urgnt,Healthcare
Medicine stock finished very serious ,Healthcare
Long waiting time in hospital very serious help,Healthcare
Long waiting time in hospital New road construction delayed very serious help,Healthcare
Need more staff in healthcare center urgent issue plz,Healthcare
Doctor not available in clinic very serious ,Healthcare
Ambulance not responding Dustbin overflowing happening since a week plz,Healthcare
